Use,Species,species.alt,Species.no.ssp,code,new.code,accept.code,family,group,nat.inv,Heteromorphic,Heteromorphic.ref,Heteromorphic.Notes,Fruit Type,germinule.equal.dispersule.,germ.disp.notes,germ.disp.ref,dormancy.type,dorm.notes
y,Lupinus microcarpus var. microcarpus,,Lupinus microcarpus,LUPMICM,LUPMIC,LUSUS,Fabaceae,forb,native,n,Jepson eflora,"Fruit: generally +- erect, generally on > 1 side of axis.",legume (dehiscent),y,,,PY,genus
y,Lupinus sparsiflorus,,Lupinus sparsiflorus,LUPSPA,LUPSPA,LUSP2,Fabaceae,forb,native,n,Jepson eflora,"Fruit: 1--2.5 cm, 4--5 mm wide, coarsely hairy. Seed: 4--5.",legume (dehiscent),y,,,PY,genus
y,Lupinus succulentus,,Lupinus succulentus,LUPSUC,LUPSUC,LUSU3,Fabaceae,forb,native,n,Jepson eflora,"Fruit: 3.5--5 cm, 8--10 mm wide, coarsely hairy to tomentose. Seed: 6--9.",legume (dehiscent),y,,,PY,
y,Medicago polymorpha,,Medicago polymorpha,MEDPOL,MEDPOL,MEPO3,Fabaceae,forb,invasive,n,Jepson eflora & SEINet,"Fruit: a loose spiral, coiled 2--6 turns, ovate to short-cylindric; gray to black, generally prickly, hairs 0. Seed: several.  Fruits: Pods to 1 cm in diameter, tightly coiled into 2-3 spirals, reticulate on sides, margins keeled and keel armed on each side by a row of curved or hooked prickles 2-3 mm long. ",legume (indehiscent),n,,,PY,
n,Medicago sativa ssp. sativa,,Medicago sativa ssp. sativa,MEDSATS,MEDSAT,MESAS,Fabaceae,forb,invasive,n,SEINet,"Fruits: Pods spirally coiled, glabrous, indehiscent. Seeds several. ",legume (indehiscent),n,,,PY,
y,Melilotus indicus,,Melilotus indicus,MELIND,MELIND,MEIN2,Fabaceae,forb,invasive,n,Jepson eflora,"Seed: 1. Fruit: 2--3 mm, bumpy or with faint lines. ",legume (indehiscent),y,,,PY,
n,Phaseolus acutifolius,,Phaseolus acutifolius,PHAACU,PHAACU,PHAC,Fabaceae,forb,native,n,SEINet,"*info on genus: Seed: 1--20, oblong to reniform or rarely discoid. no info on seed for species. Species Fruits: Slightly falcate, 3-5 mm wide, 4-6 cm long, strongly compressed, sparsely to moderately but finely puberulent, attenuate at apex, distinctly reticulate-venose. ",legume (dehiscent),n,indehiscent legume,,PY,genus
n,Phaseolus acutifolius var. acutifolius,,Phaseolus acutifolius,PHAACUA,PHAACU,PHACA2,Fabaceae,forb,native,n,SEINet,"*info on genus: Seed: 1--20, oblong to reniform or rarely discoid. no info on seed for species. Species Fruits: Slightly falcate, 3-5 mm wide, 4-6 cm long, strongly compressed, sparsely to moderately but finely puberulent, attenuate at apex, distinctly reticulate-venose.",legume (dehiscent),n,indehiscent legume,,PY,genus
y,Phaseolus acutifolius var. tenuifolius,,Phaseolus acutifolius,PHAACUT,PHAACU,PHACT,Fabaceae,forb,native,n,SEINet,"*info on genus: Seed: 1--20, oblong to reniform or rarely discoid no info on seed for species. Species Fruits: Slightly falcate, 3-5 mm wide, 4-6 cm long, strongly compressed, sparsely to moderately but finely puberulent, attenuate at apex, distinctly reticulate-venose.",legume (dehiscent),n,indehiscent legume,,PY,genus
y,Sesbania herbacea,,Sesbania herbacea,SESHER,SESHER,SEHE8,Fabaceae,forb,native,n,Jepson eflora ,"*no info on seed. Fruit: 15--20 cm, linear.",legume (dehiscent),y,slowly dehiscent,,PY,genus
y,Trifolium albopurpureum,,Trifolium albopurpureum,TRIALB,TRIALB,TRAL5,Fabaceae,forb,native,n,SEINet,"Fruit: legume, generally indehiscent, but often breaking, short, plump, generally included in corolla; base often stalk-like; Seeds 1-2 ",legume (indehiscent),n,,,PY,genus
y,Trifolium depauperatum,,Trifolium depauperatum,TRIDEP,TRIDEP,,Fabaceae,forb,native,n,Jepson eflora,Fruit: stalk-like base 0 to short; style generally persistent,legume (dehiscent),,,,PY,genus
y,Trifolium fucatum,,Trifolium fucatum,TRIFUC,TRIFUC,TRFU,Fabaceae,forb,native,n,Jepson eflora ,Fruit: 5--10 mm; stalk-like base 0.5--2 mm. Seed: 2--4. ,legume (indehiscent),n,,,PY,genus
y,Trifolium gracilentum,,Trifolium gracilentum,TRIGRA,TRIGRA,TRGR2,Fabaceae,forb,native,n,SEINet,"Fruit: legume, indehiscent, but often breaking, short, plump, 4-6 mm, > petals; Seeds 1-2",legume (indehiscent),n,,,PY,genus
y,Trifolium hirtum,,Trifolium hirtum,TRIHIR,TRIHIR,TRHI4,Fabaceae,forb,invasive,n,Jepson eflora ,Seed: 1.,legume (indehiscent),n,,,PY,
y,Trifolium microcephalum,,Trifolium microcephalum,TRIMIC,TRIMIC,TRMI4,Fabaceae,forb,native,n,SEINet,"Fruit: legume, short, plump, rupturing corolla; Seeds 1-2",legume (indehiscent),n,,,PY,genus
y,Trifolium willdenovii,Trifolium tridentatum,Trifolium willdenovii,TRIWIL,TRIWIL,TRWI3,Fabaceae,forb,native,n,Jepson eflora ,Seed: 1--2.,legume (indehiscent),n,,,PY,genus
y,Vicia villosa,,Vicia villosa,VICVIL,VICVIL,VIVI,Fabaceae,forb,invasive,n,Jepson eflora ,"*no info on seed Fruit: 1.5--4 cm, 6--10 mm wide, widely oblong or elliptic; stalk-like base 2--3 mm.",legume (dehiscent),y,,,PY,
y,Zeltnera trichantha,Centaurium trichanthum,Zeltnera trichantha,ZELTRI,ZELTRI,CETR2,Gentianaceae,forb,native,n,https://onlinelibrary.wiley.com/doi/pdf/10.2307/4135447?casa_token=mCWYqDGUragAAAAA:rXQL-O6tsbhZ6aieGpLVKDpvBzfeZZHdj3fr-9KvqvQvgC4_aaL_sjgXt6X2nX3aD1BbLrMsvM_MaspR,"Seeds numerous, 200–700 per capsule, the main axis 0.15–0.70 mm long; seed shape pyramidal to nearly oblate; seed coat reddish to yellowish-brown or blackish, reticulate, with papillae in lacunae.",capsule,n,,,PD,genus
y,Erodium botrys,,Erodium botrys,EROBOT,EROBOT,ERBO,Geraniaceae,forb,invasive,n,Jepson eflora,"Fruit: body 8--11 mm, pits 0 or transversely narrow and inconspicuous, subtended by (2)3--4 glabrous ridges; style column 5--12 cm.",mericarp,n,,,PY,
y,Erodium cicutarium,,Erodium cicutarium,EROCIC,EROCIC,ERCI6,Geraniaceae,forb,invasive,n,Jepson eflora,"Fruit: body 4--7 mm, pits +- round, glabrous, subtended by 1--2 glabrous ridges; style column 2--5 cm.",mericarp,n,,,PY,
y,Erodium texanum,,Erodium texanum,EROTEX,EROTEX,ERTE13,Geraniaceae,forb,native,n,Jepson eflora,"Fruit: body 5--8 mm, pits inconspicuous or 0, without glands, subtended by 2 glabrous ridges; style column 3--7 cm",mericarp,n,,,PY,genus
y,Geranium dissectum,,Geranium dissectum,GERDIS,GERDIS,GEDI,Geraniaceae,forb,invasive,n,Jepson eflora,"Fruit: mericarp 2.3--2.9 mm, smooth, minutely bristly, base with prong, callus 0; beak 11.1--13.5 mm, narrow tip 1.6--2.7 mm; stigmas 0.6--1 mm. Seed: deeply pitted.",mericarp,,,,PY,
y,Eucrypta micrantha,,Eucrypta micrantha,EUCMIC,EUCMIC,EUMI2,Hydrophyllaceae,forb,native,n,Jepson eflora,"Fruit: 2--3 mm wide. Seed: 7--15, oblong, in age incurved, worm-like, black or dark-brown, wrinkled.",capsule,,,,,
y,Monarda citriodora var. austromontana,,Monarda citriodora var. austromontana,MONCITA,MONCIT,MOCIA,Lamiaceae,forb,native,n,SEINet,"*Info on species not variation. NUTLETS ovoid, smooth to somewhat reticulate ",nutlet,y,fruit nutlet,,PD,genus
y,Monardella breweri ssp. lanceolata,Monardella lanceolata var. lanceolata,Monardella breweri ssp. lanceolata,MONBREL,MONBRE,MOLAL,Lamiaceae,forb,native,n,,no info ,nutlet,y,nutlets,,,
y,Salvia carduacea,,Salvia carduacea,SALCAR,SALCAR,SACA8,Lamiaceae,forb,native,n,Jepson eflora ,"*no info on seed. Fruit: 2.5 mm, tan to gray, flecked. ",nutlet,y,,,PD/ND,genus
y,Salvia columbariae,,Salvia columbariae,SALCOL,SALCOL,SACO6,Lamiaceae,forb,native,n,SEINet & Jepson eflora,"Nutlets 2-2.22 mm long. Fruit: 1.5--2 mm, tan to gray.",nutlet,y,,,PD,
y,Trichostema austromontanum ssp. austromontanum,,Trichostema austromontanum ssp. austromontanum,TRIAUSA,TRIAUS,TRAUA2,Lamiaceae,forb,native,n,Jepson eflora,"Genus: Fruit: nutlets 4, joined in basal +- 1/3, puberulent to hairy, irregularly ridged.",nutlet,y,,,ND,genus
y,Trichostema lanceolatum,,Trichostema lanceolatum,TRILAN,TRILAN,TRLA4,Lamiaceae,forb,native,n,Jepson eflora,"Genus: Fruit: nutlets 4, joined in basal +- 1/3, puberulent to hairy, irregularly ridged.",nutlet,y,,,ND,genus
y,Mentzelia albicaulis,,Mentzelia albicaulis,MENALB,MENALB,MEAL6,Loasaceae,forb,native,n,Jepson eflora,"Seed: 1--1.5 mm, irregular-rounded to -angular above mid-fruit, ×-section occasionally triangular with grooves along longitudinal edges below mid-fruit; tan, dark-mottled, to black; seed coat cells pointed or domed, in age > 1/2 tall as wide on seed surface edges. ",capsule,y,capsules are generally dehiscent,,PD,genus
y,Mentzelia involucrata,,Mentzelia involucrata,MENINV,MENINV,MEIN5,Loasaceae,forb,native,n,Jepson eflora,"Seed: 2--3 mm, 2--2.5 mm wide, +- compressed, middle transverse-ridged, beaked, ashy-white. ",capsule,y,capsules are generally dehiscent,,PD,genus
y,Mentzelia micrantha,,Mentzelia micrantha,MENMIC,MENMIC,MEMI3,Loasaceae,forb,native,n,Jepson eflora,"Seed: 5--10, 1.5--2.5 mm, +- 1 mm wide, +- prism-shaped, ×-section triangular, longitudinal edges grooved, tan and dark-mottled to black; seed coat cells minute. ",capsule,y,capsules are generally dehiscent,,PD,genus
y,Anoda pentaschista,,Anoda pentaschista,ANOPEN,ANOPEN,ANPE4,Malvaceae,forb,native,n,Jepson eflora and SEINet,"Fruit: puberulent. (Jepson) Fruit: FRUITS a schizocarp, oblate, puberulent; mericarps 5-8, dorsally spurred; SEEDS ca. 2 mm long, endocarp not developed (SEINet)",mericarp,n,,,PY,genus
n,Gossypium hirsutum,,Gossypium hirsutum,GOSHIR,GOSHIR,GOHI,Malvaceae,forb,invasive,n,Jepson eflora,"Fruit: 2--4 cm, widely ovoid to +- spheric, 3--5-celled, glabrous. Seed: several per chamber, 8--10 mm, +- hidden by long hairs.",mericarp,n,,,PY,genus
y,Malva parviflora,,Malva parviflora,MALPAR,MALPAR,MAPA5,Malvaceae,forb,invasive,n,efloras.org & Jepson eflora,"Seeds 1.5–2 mm. Fruit: 6--7 mm diam; segments +- 10--11, glabrous to hairy, wrinkled, net-veined-pitted, ribbed on back, outer edges thin-winged, toothed. ",mericarp,n,,,PY,
y,Sidalcea diploscypha,,Sidalcea diploscypha,SIDDIP,SIDDIP,SIDI,Malvaceae,forb,native,n,Jepson eflora ,"One seed for genus. ""Seed: 1, generally filling chamber, reniform, glabrous."" Fruit: segment +- 2.5 mm, glabrous, occasionally +- pink when fresh, back net-veined, beak 0.",mericarp,n,,,PY,genus
y,Calandrinia menziesii,Calandrinia ciliata,Calandrinia menziesii,CALMEN,CALMEN,CACI2,Montiaceae,forb,native,n,Jepson eflora,"Seed: 10--20, 1--2.5 mm wide, elliptic.",capsule,y,,,,
y,Calyptridium monandrum,,Calyptridium monandrum,CALMON,CALMON,CIMO4,Montiaceae,forb,native,n,Jepson eflora,"Fruit: 3--6 mm, oblong to linear, in width generally +- > seed. Seed: 4--10, 0.5--0.8 mm. ",capsule,y,"fruit: capsule, circumscissile or 2--3-valved",jepson eflora,,
y,Claytonia parviflora ssp. parviflora,,Claytonia parviflora,CLAPARP,CLAPAR,CLPAP,Montiaceae,forb,native,n,Jepson eflora,Seed: 1.2--2.3 mm. ,capsule,y,"fruit: capsule, circumscissile or 2--3-valved",jepson eflora,PD,genus
y,Claytonia parviflora ssp. viridis,,Claytonia parviflora,CLAPARV,CLAPAR,CLPAV,Montiaceae,forb,native,n,Jepson eflora,Seed: 1.2--1.5 mm.,capsule,y,"fruit: capsule, circumscissile or 2--3-valved",jepson eflora,PD,genus
y,Claytonia perfoliata,,Claytonia perfoliata,CLAPER,CLAPER,CLPE,Montiaceae,forb,native,n,Jepson eflora,"Fruit: 1.5--4 mm. Seed: 1.2--2.7 mm, ovate to round, shiny, smooth.",capsule,y,"fruit: capsule, circumscissile or 2--3-valved",jepson eflora,PD,
y,Abronia villosa,,Abronia villosa,ABRVIL,ABRVIL,ABVI,Nyctaginaceae,forb,native,n,Jepson eflora,"Fruit: 5--10 mm, body with prominent raised veins, top with hardened beak (base of floral tube); wings 3--5, thin, rounded or angled, or 0.",anthocarp,n,winged indehiscent fruit,,PD,
y,Boerhavia erecta,,Boerhavia erecta,BOEERE,BOEERE,BOER,Nyctaginaceae,forb,native,n,SEINet,"Fruits 1-11 per cluster, pale greenish to straw colored or tan, narrowly obconic, (2.7-)3-3.5[-4] × 1.2-1.5 mm (l/w: (2-)2.3-3.2), apex truncate or broadly low conic, glabrous; ribs 5, acute, slightly rugose adjacent to sulci; sulci 0.5-1 times as wide as base of ribs, slightly to prominently coarsely transverse rugose, not papillate.",anthocarp,,,,PD,genus
y,Boerhavia triquetra var. intermedia,Boerhavia intermedia,Boerhavia triquetra var. intermedia,BOETRII,BOETRI,BOIN,Nyctaginaceae,forb,native,n,Jepson eflora,"Fruit: 2--2.7 mm, glabrous, length 3 × width; ribs (3)5, rounded to angled; tip +- truncate to abruptly rounded.",anthocarp,,,,PD,genus
y,Camissonia campestris,,Camissonia campestris,CAMCAM,CAMCAM,,Onagraceae,forb,native,n,Jepson eflora," Seed: 0.8--1.6 mm. Genus: Seed: in 1 row per chamber, narrowly obovoid, smooth (minutely pitted), glossy.",capsule,,,,PD,genus
y,Camissoniopsis ignota,Camissonia ignota,Camissoniopsis ignota,CAMIGN,CAMIGN,CAIG2,Onagraceae,forb,native,n,Jepson eflora,"Fruit: generally 20--30 mm, 0.8--1 mm wide, cylindric, drying 4-angled, < 5-coiled. Seed: +- 1.2 mm.",capsule,y,generally dehiscent,,PD,genus
y,Camissoniopsis pallida,Camissonia pallida,Camissoniopsis pallida,CAMPAL,CAMPAL,CAPA36,Onagraceae,forb,native,n,Jepson eflora,"Fruit: 10--25 mm, 1.1--1.2 mm wide, +- 4-angled, straight to 3-coiled. Seed: 1--1.5 mm. ",capsule,y,generally dehiscent,,PD,genus
y,Chylismia brevipes,Camissonia brevipes,Chylismia brevipes,CHYBRE,CHYBRE,CABR23,Onagraceae,forb,native,n,Jepson eflora ,"Fruit: 18--92 mm, ascending to spreading, cylindric, straight or curved; pedicel 2--20 mm. Seed: 1--1.5 mm.",capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=208,PD,genus
y,Chylismia cardiophylla,Camissonia cardiophylla,Chylismia cardiophylla,CHYCAR,CHYCAR,CACA34,Onagraceae,forb,native,n,Jepson eflora,"Fruit: 20--55 mm, ascending, cylindric, +- straight; pedicel 1--18 mm. Seed: 0.5--0.7 mm. ",capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=208,PD,genus
y,Chylismia claviformis,Camissonia claviformis,Chylismia claviformis,CHYCLA,CHYCLA,CACL4,Onagraceae,forb,native,n,Jepson eflora,"Fruit: ascending or spreading, 8--38 mm, wider to tip, straight or curved; pedicel 4--40 mm. Seed: 0.6--1.5 mm.",capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=209,PD,genus
y,Chylismia claviformis ssp. claviformis,Camissonia claviformis ssp. claviformis,Chylismia claviformis,CHYCLAC,CHYCLA,CACLC3,Onagraceae,forb,native,n,Jepson eflora,0.6--1.5 mm (info for main species),capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=210,PD,genus
y,Chylismia claviformis ssp. funerea,Camissonia claviformis ssp. funerea,Chylismia claviformis,CHYCLAF,CHYCLA,CACLF,Onagraceae,forb,native,n,Jepson eflora,0.6--1.5 mm (info for main species),capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=211,PD,genus
y,Clarkia dudleyana,,Clarkia dudleyana,CLADUD,CLADUD,CLDU,Onagraceae,forb,native,n,Jepson eflora,"Genus: generally many, rarely 1--2, 0.5--2 mm, angled, crested or not, brown, gray, or mottled",capsule,y,,,PD,genus
y,Clarkia epilobioides,,Clarkia epilobioides,CLAEPI,CLAEPI,CLEP,Onagraceae,forb,native,n,SEINet,"Fruits: Linear capsule, 1-1.5 mm in diameter, 1.5-3 cm long, sparsely strigollose to glabrate at maturity. ",capsule,y,,,PD,genus
y,Clarkia gracilis,,Clarkia gracilis,CLAGRA,CLAGRA,CLGR,Onagraceae,forb,native,n,Jepson eflora,"Fruit: 2.5--5 cm, generally wider distally; beak slender, < 10 mm.",capsule,y,,,PD,genus
y,Clarkia purpurea,,Clarkia purpurea,CLAPUR,CLAPUR,CLPU2,Onagraceae,forb,native,n,Jepson eflora, Fruit: 1--3 cm; beak 0--2 mm.,capsule,y,,,PD,genus
y,Clarkia unguiculata,,Clarkia unguiculata,CLAUNG,CLAUNG,CLUN,Onagraceae,forb,native,n,Jepson eflora,"genus: generally many, rarely 1--2, 0.5--2 mm, angled, crested or not, brown, gray, or mottled",capsule,y,,,PD,genus
y,Epilobium brachycarpum,,Epilobium brachycarpum,EPIBRA,EPIBRA,EPBR3,Onagraceae,forb,native,n,Jepson eflora,"Fruit: 15--32 mm, glabrous or glandular; pedicel 1--17 mm. Seed: 1.5--2.7 mm, papillate, hair-tuft readily deciduous.",capsule,y,generally dehiscent,https://ucjeps.berkeley.edu/eflora/eflora_keys.php?key=211,PD/ND,genus
y,Eremothera boothii,Camissonia boothii,Eremothera boothii,EREBOO,EREBOO,CABO7,Onagraceae,forb,native,y,Jepson eflora,"Seed: 1.4--2.1 mm, generally of 2 kinds, minutely pitted in rows, pale brown and coarsely papillate, dark brown.",capsule,y,generally dehiscent,,PD,genus
y,Eulobus californicus,,Eulobus californicus,EULCAL,EULCAL,CACA32,Onagraceae,forb,native,n,Jepson eflora,"Fruit: reflexed, 45--110 mm, cylindric early, drying 4-angled, +- straight. Seed: 1.3--1.6 mm, olive-green, purple-spotted",capsule,y,generally dehiscent,,,
y,Castilleja attenuata,,Castilleja attenuata,CASATT,CASATT,CAAT25,Orobanchaceae,forb,native,n,Jepson eflora,"Fruit: 7--11 mm. Seed: < 1 mm; coat shallowly netted, loose-fitting. ",capsule,,,,PD,genus
y,Castilleja exserta,,Castilleja exserta,CASEXS,CASEXS,CAEX14,Orobanchaceae,forb,native,n,Jepson eflora,"Fruit: 10--15 mm. Seed: 1--2 mm; coat deeply netted, loose-fitting.",capsule,,,,PD,genus
y,Cordylanthus nevinii,,Cordylanthus nevinii,CORNEV,CORNEV,CONE,Orobanchaceae,forb,native,n,Jepson eflora,"Seed: 2 mm, finely wavy-striate, dark brown. ",capsule,,,,PD,genus
y,Cordylanthus rigidus ssp. setiger,Cordylanthus filifolius,Cordylanthus rigidus ssp. setiger,CORRIGS,CORRIG,CORIR,Orobanchaceae,forb,native,n,Jepson eflora,"Seed: 1.5--2 mm, +- ovoid, wavy-striate, dark brown.",capsule,,,,PD,genus
y,Argemone munita,,Argemone munita,ARGMUN,ARGMUN,ARMU,Papaveraceae,forb,native,n,SEINet,"Capsules ovoid, ellipsoid, or lanceoloid, 35-55 × 9-15(-18) mm (including stigma and excluding prickles), prickly, longest prickles to 10 mm, widely spaced, or shorter, more numerous, and interspersed with still shorter prickles, surface then partially obscured. Seeds 1.8-2.6 mm.",capsule,y,,,MPD,genus
y,Eschscholzia californica,,Eschscholzia californica,ESCCAL,ESCCAL,ESCA2,Papaveraceae,forb,native,n,Jepson eflora,"Fruit: 3--9 cm. Seed: 1.5--1.8 mm wide, round to elliptic, net-ridged, brown to black",capsule,y,,,MPD,
y,Eschscholzia glyptosperma,,Eschscholzia glyptosperma,ESCGLY,ESCGLY,ESGL,Papaveraceae,forb,native,n,Jepson eflora,"Fruit: 4--7 cm. Seed: 1.2--1.8 mm wide, round, minutely pitted, tan to ashy-gray",capsule,y,dehiscent from base,,MPD,genus
y,Eschscholzia minutiflora,,Eschscholzia minutiflora,ESCMIN,ESCMIN,ESMI,Papaveraceae,forb,native,n,Jepson eflora,"Fruit: 3--6 cm. Seed: 1--1.4 mm wide, generally oblong to elliptic, net-ridged, brown to black.",capsule,y,dehiscent from base,,MPD,genus
y,Platystemon californicus,,Platystemon californicus,PLACAL,PLACAL,PLCA5,Papaveraceae,forb,native,y,Jepson eflora & https://link.springer.com/content/pdf/10.1007/BF02858766.pdf,"Seed: 1 mm, elliptic to reniform, smooth, black. SOURCE 2: Platystemon californicus is an annual that produces two seed types that are
morphologically and physiologically different. Most seeds are enclosed in a persistent
pericarp, but some are naked. Hannan (1980) has documented that the naked seeds
have an innate dormancy when they are dispersed (in mid-summer), but germinate
readily in the fall. This behavior would delay germination until a season of more
predictable rainfall. The seeds enclosed in the pericarp do not germinate readily in
the fall and may persist in the soil seed bank. This polymorphism accounts for the
annual occurrence of this species in grasslands and periodic abundance after wildfires. SOURCE CONFIRMING: https://www.jstor.org/stable/pdf/41426142.pdf?casa_token=Ap6eq_OJG9UAAAAA:nfDNk0foYdShBNWMXmNYPp4d_Fx8JNie4SP9c3IN4mRr958HTlcQehhxhUwj1svd-PAO36Od5TL2vXyXe89-d9g4u6OC92tchSGxZUoL7A3AgzvygW3xow ",nutlet,,,,PD,genus
y,Diplacus bigelovii,Mimulus bigelovii,Diplacus bigelovii,DIPBIG,DIPBIG,MIBI6,Phrymaceae,forb,native,n,Jepson eflora,"Fruit: 7--13 mm, exserted.",capsule,,,,PD,genus
y,Erythranthe guttata,Mimulus guttatus,Erythranthe guttata,ERYGUT,ERYGUT,MIGU,Phrymaceae,forb,native,n,Jepson eflora,Fruit: 7--11 mm.,capsule,,,,PD,genus
y,Antirrhinum coulterianum,,Antirrhinum coulterianum,ANTCOU,ANTCOU,SACO13,Plantaginaceae,forb,native,n,Jepson eflora,"Fruit: 5--10 mm; upper chamber indehiscent. Seed: +- 1 mm, ovoid, black, netted and ridged. ",capsule,y,"generally dehiscent, lower chamber sometimes indehiscent",jepson eflora,,
y,Antirrhinum multiflorum,Antirrhinum thompsonii,Antirrhinum multiflorum,ANTMUL,ANTMUL,SAMU2,Plantaginaceae,forb,native,n,Jepson eflora,"Fruit: 7--11 mm, oblique-ovoid; dehiscent by 3 pores at tip, 1 in upper chamber, 2 in lower. Seed: 0.8--1.3 mm, ovoid, black, +- ridged.",capsule,y,,,,
y,Collinsia concolor,,Collinsia concolor,COLCON,COLCON,COCO,Plantaginaceae,forb,native,n,Jepson eflora,"Seed: many, +- round, flat. ",capsule,y,,,PD,genus
y,Collinsia heterophylla,,Collinsia heterophylla,COLHET,COLHET,COHE,Plantaginaceae,forb,native,n,Jepson eflora,"Seed: many, ovate, +- flat. ",capsule,y,,,PD,genus
y,Collinsia parviflora,,Collinsia parviflora,COLPAR,COLPAR,COPA3,Plantaginaceae,forb,native,n,SEINet,"Fruits: Capsule, septicidal and loculicidal, ovoid or elliptical, 3-5.5 mm long, the style usually persistent; seeds 2 per locule, small, brown.",capsule,y,,,PD,genus
y,Collinsia sparsiflora,,Collinsia sparsiflora,COLSPA,COLSPA,COSP,Plantaginaceae,forb,native,n,Jepson eflora,"Fruit: spheric; top generally red-blotched, revealed by widely spreading calyx lobes. Seed: 4--12, flat, +- round, generally concave, +- winged.",capsule,y,,,PD,genus
y,Mohavea confertiflora,Antirrhinum confertiflorum,Mohavea confertiflora,MOHCON,MOHCON,MOCO,Plantaginaceae,forb,native,n,Jepson eflora,"Seed: 1.5--2 mm, flat, ovate, smooth; wing incurved, +- cup-shaped.",capsule,y,"generally dehiscent, lower chamber sometimes indehiscent",jepson eflora,,
y,Plantago erecta,,Plantago erecta,PLAERE,PLAERE,PLER3,Plantaginaceae,forb,native,n,Jepson eflora ,"Seed: 2, 2--2.5 mm. ",capsule,y,,,PD/ND,genus
y,Plantago ovata,,Plantago ovata,PLAOVA,PLAOVA,PLOV,Plantaginaceae,forb,native,n,SEINet,"Fruit: capsules, breaking at or slightly below midd; SEEDS 2, ellipsoid, ca 2.3 mm long, ca 1.1 wide, reddish-brown to black, the inner surface deeply concave, the outer surface shiny",capsule,y,,,PD,
y,Plantago ovata var. insularis,Plantago insularis,Plantago insularis,PLAOVAI,PLAINS,PLOV,Plantaginaceae,forb,native,n,,assuming no bc above is no ,capsule,y,,,PD,
y,Plantago patagonica,,Plantago patagonica,PLAPAT,PLAPAT,PLPA2,Plantaginaceae,forb,native,n,SEINet,"SEEDS 2, ca. 2.2 mm long, ca. 1.2 mm wide, reddish-brown to light brown to dark brown (rarely black), the inner surface concave, the outer surface rounded and alveolate",capsule,y,,,PD,
y,Aegilops triuncialis,,Aegilops triuncialis,AEGTRI,AEGTRI,AETR,Poaceae,grass,invasive,y,Jepson eflora,"Fertile Spikelet: 7--13 mm, lance-ovate, glumes 2--3 awned; florets generally 3--5, lower 2 generally fertile; lemma 2--3-toothed, central tooth occasionally extended as an awn to 10 mm. Distal Spikelet: 7--9 mm, glumes 3-awned or 1-awned with 2 lateral teeth, awns generally 4--8 cm.",caryopsis,n,,,PD,genus
y,Aristida adscensionis,,Aristida adscensionis,ARIADS,ARIADS,ARAD,Poaceae,grass,native,n,Jepson eflora,"Spikelet: lower glume 4--8 mm, upper 6--12 mm; lemma 6--15 mm, awns +- equal, 7--20 mm, central straight to curved at base. Fruit: +- 15 mm. ",caryopsis,,,,PD/ND,genus
y,Avena barbata,,Avena barbata,AVEBAR,AVEBAR,AVBA,Poaceae,grass,invasive,n,Jepson eflora,"Spikelet: 21--30 mm; breaking apart above glumes and between florets; glumes 15--30 mm, 5--9-veined; callus bearded; florets 2--3; lemma 12--26 mm, generally densely soft-hairy below awn, teeth 2--6 mm, bristly, awns 20--45 mm, bent, twisted below bend.",caryopsis,n,,,PD/ND,genus
y,Avena fatua,,Avena fatua,AVEFAT,AVEFAT,AVFA,Poaceae,grass,invasive,n,SEINet,"Fruit - caryopsis, Caryopsis ellipsoid, longitudinally gr",caryopsis,n,,,PD/ND,
y,Bouteloua barbata,,Bouteloua barbata,BOUBAR,BOUBAR,BOBA2,Poaceae,grass,native,n,SEINet,"Fruit - caryopsis, Caryopsis ellipsoid, longitudinally grooved, hilum long-linear.",caryopsis,,,,PD,
y,Bromus diandrus,,Bromus diandrus,BRODIA,BRODIA,BRDI3,Poaceae,grass,invasive,n,SEINet,"Fruit - caryopsis, Caryopsis ellipsoid, longitudinally grooved, hilum long-linear, Caryopsis hairy at apex. ",caryopsis,n,,,PD/ND,
y,Bromus hordeaceus,,Bromus hordeaceus,BROHOR,BROHOR,BRHO2,Poaceae,grass,invasive,n,SEINet,"Caryopses equaling or shorter than the paleas, thin, weakly inrolled to flat. 2n = 28.",caryopsis,n,,,PD/ND,genus
y,Bromus madritensis,,Bromus madritensis,BROMAD,BROMAD,BRMA3,Poaceae,grass,invasive,n,Jepson eflora,"Spikelet: 27--50 mm, moderately flattened; glumes glabrous, lower 6--11 mm, 1-veined, upper 10--17 mm, 3-veined; lemma 11--23 mm, back rounded, glabrous or scabrous, teeth 1--3 mm, awn 12--30 mm, straight; sterile florets <= 3; florets not overlapping at maturity",caryopsis,n,,,PD,
y,Bromus rubens,,Bromus rubens,BRORUB,BRORUB,BRRU2,Poaceae,grass,invasive,n,SEINet,"Fruit - caryopsis, Caryopsis ellipsoid, longitudinally grooved, hilum long-linear, Caryopsis hairy at apex.",caryopsis,n,,,PD,
